(1.0,1.3337061277595177)
(0.1,16.924403025000796)
(1.0,1.3427709297416146)
(1.0,1.116484145803522)
(1.0,1.174240492278745)
(0.3907057323349894,3.7074510670912844)
(1.0,1.0837834337518095)
(0.1,11.957271053820149)
(1.0,1.2667918537294558)
(1.0,1.0060413291970862)
(0.7077550484630579,1.8600544667442054)
(1.0,1.3811563765260875)
(1.0,1.1264581688434485)
(1.0,3.571266830129817)
(1.0,1.1461152361221911)
(0.8501882213602161,1.2479215195125046)
(0.1,14.363182495336515)
(1.0,1.0438193362819366)
(0.21898076347381018,4.566611167741219)
(1.0,1.0)
(0.1245689830631318,10.530125431418803)
(0.1,15.15555869467387)
(0.404894589730072,2.6492443102922834)
(1.0,1.3565486565640499)
(0.1,10.70785576425597)
(0.6106013413076181,7.562228901383099)
(0.1,14.667888823103308)
(0.5210853455311081,1.9210711299942034)
(0.8893410871309927,1.2164921413327148)
(0.1,10.0)
(0.509793009019722,2.1187986295783214)
(0.1,10.0)
(1.0,1.0)
(0.10084294952245285,14.216739722740362)
(0.3761618131225714,3.1993220903628927)
(0.1,10.141454682238273)
(0.1,10.130136849523891)
(1.0,3.392978458171757)
(0.1,10.0)
(1.0,1.363292857903024)
(0.1,10.0)
(0.1,37.05015129528782)
(0.1,20.515880692028226)
(0.9497076559739102,1.3480008383145141)
(0.37006449601143854,2.70223166712294)
(0.6418408613929953,1.5580185995476936)
(0.1,10.490925922553737)
(0.18529296308224114,6.722714139732138)
(0.6409754833854721,1.680934767041101)
(0.1,16.48188485004248)
(0.8310681113826377,1.5697327421726208)
(1.0,1.3297472182731203)
(0.1,10.0)
(1.0,1.3897799088873903)
(0.1,10.0)
(0.25154977793669436,4.938386112603506)
(1.0,1.0984352623427998)
(0.1,14.215276188532822)
(0.1,12.979014330000693)
(0.6702398902238287,1.6888684021895537)
(0.44273934327400916,2.6755580949071183)
(1.0,1.0711005797559199)
(0.1,10.0)
(1.0,1.3140988814032895)
(1.0,2.562469206295174)
(0.34158058337643343,3.4545678703285296)
(0.1,10.0)
(0.4384520834827662,2.7279974921684276)
(0.606241999844855,1.9127887671031678)
(0.31275055019292675,3.1974364214007904)
(0.559369821168246,2.0395694413689704)
(0.4678494829159635,2.6831161482136703)
(0.7375298640232971,1.8371441507397333)
(0.43470441770657714,2.323600918841181)
(0.7713361929732122,1.5430017695423144)
(0.1211507667425511,9.860644031402357)
(1.0,1.043588740660175)
(0.40312222017719823,3.10124618797778)
(1.0,1.22357055785618)
(0.5093408704226284,2.8134134897869894)
(0.1,10.0)
(0.1,11.32903030920182)
(0.882548964569806,1.4660459581421992)
(0.1,14.378098458565951)
(0.2276754256277697,5.113361677697646)
(0.1,41.50852331954216)
(0.13445436075166134,11.039384876475125)
(0.1,13.277528812372482)
(1.0,1.0)
(0.1,10.0)
(1.0,1.3057600252128765)
(0.1,18.411225372968865)
(0.1,10.0)
(1.0,1.0)
(0.28394186794246007,3.521847648768187)
(0.14220444909951535,7.463940198494481)
(0.28012764210422564,5.3425766964825465)
(0.1,13.505229202179768)
(0.7260136521143394,1.545933755347339)
(0.28176622203355606,4.5615075525062165)
