(0.1,0.0)
(0.1,0.0)
(1.0,0.0)
(1.0,0.0)
(0.38392968670142247,0.0)
(0.8392766873884943,0.0)
(0.46720020568042453,0.0)
(0.6799863121465236,0.0)
(0.6358764596340243,0.0)
(0.3347056626772391,0.0)
(0.912847346915637,0.0)
(0.5609562089400102,0.0)
(0.5970757216308196,0.0)
(0.1204018439369915,0.0)
(0.14073429963897371,0.0)
(0.5195656892453353,0.0)
(0.2571038103860949,0.0)
(0.8217136850706963,0.0)
(0.43632986128103635,0.0)
(0.2972105147770065,0.0)
(0.18103671658425002,0.0)
(0.21290993506859474,0.0)
(0.7213115078961743,0.0)
(0.9307051288157602,0.0)
(0.9720599788499373,0.0)
(0.19472073889958252,0.0)
(0.5224557603125851,0.0)
(0.7832067424043709,0.0)
(0.2344039227125815,0.0)
(0.3078852744911934,0.0)
(0.1587326022521896,0.0)
(0.10735339217084505,0.0)
(0.4363673738100867,0.0)
(0.7265076734630459,0.0)
(0.7530230744501087,0.0)
(0.15715542500791058,0.0)
(0.755837978831896,0.0)
(0.7807384191593068,0.0)
(0.993652621829723,0.0)
(0.24341382979642623,0.0)
(0.10491773927282225,0.0)
(0.24932057182424083,0.0)
(0.9222643497915066,0.0)
(0.9808241801888353,0.0)
(0.30236235897573066,0.0)
(0.9261220285234839,0.0)
(0.976078041749831,0.0)
(0.9998592202447019,0.0)
(0.9803560862120982,0.0)
(0.1585324572437918,0.0)
